Book Name,Author,Year,Book_cover,price_new,price_used,Rating,Customers_Rated
The Lost Book of Herbal Remedies,Claude Davis,2018,Paperback,37.0,35,4.8,359.0
Heartstopper Ser.: Heartstopper (Heartstopper #1),Alice Oseman,2020,Trade Paperback,21.95,10,5.0,1.0
Holy Bible: King James Version (Barnes & Noble Collectible Editions),Gustave Dore,2018,Leatherbound,31.5,30,5.0,138.0
"Run, Rose, Run : A Novel",Dolly Parton and James Patterson,2022,Hardcover,14.0,13,4.8,10.0
Bridgerton: The Duke and I,Julia Quinn,2015,Paperback,5.61,4,5.0,9.0
"Children's Health Defense Ser.: The Real Anthony Fauci : Big Pharma's Global War on Democracy, Humanity, and Public Health",Robert F. Kennedy Jr.,2021,Hardcover,17.0,14,4.9,48.0
Animal Farm and 1984,George Orwell and A. M. Heath,2003,Hardcover,9.49,8,4.9,83.0
The Witcher Boxed Set,Andrzej Sapkowski,2020,Paperback,77.12,35,4.4,8.0
Rich Dad Poor Dad : What the Rich Teach Their Kids about Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,2017,Paperback,9.68,5,4.9,123.0
"Laptop from Hell : Hunter Biden, Big Tech, and the Dirty Secrets the President Tried to Hide",Miranda Devine,2021,Hardcover,15.99,14,4.9,26.0
The KJV Bible,Inc. Staff Hendrickson Publishers,2004,Hardcover,24.18,22,4.7,145.0
It Ends with Us : A Novel,Colleen Hoover,2016,Trade Paperback,11.5,9,4.8,29.0
Everywhere Babies,Susan Meyers,2004,Children's Board Books,8.64,4,5.0,3.0
Welcome to the Universe In 3D : A Visual Tour,"Michael Strauss, Neil deGrasse Tyson, J. Richard Gott and Robert J. Vanderbei",2022,Hardcover,28.14,18,5.0,1.0
1984,George Orwell,1950,Hardback,8.36,4,4.8,411.0
The Creature from Jekyll Island,G. Edward Griffin,1994,Trade Paperback,26.95,9,4.9,54.0
The Blackman's Guide to Understanding the Blackwoman,Shahrazad Ali,1990,Paperback,25.0,23,4.9,85.0
A Guide Book of United States Paper Money,Ira S. Friedberg and Arthur L. Friedberg,2020,Trade Paperback,20.25,15,4.7,29.0
Concise 48 Laws of Power,Greene,2002,Paperback,8.63,8,4.7,40.0
Behold a Pale Horse,Milton William Cooper,1991,Paperback,19.06,17,4.7,177.0
The 48 Laws of Power,Robert Greene,2000,Paperback,15.52,7,4.9,196.0
NIV Personal Size Giant Print Holy Bible,New International Version,2014,Paperback,17.92,7,4.8,78.0
The Trapper's Bible : The Most Complete Guide to Trapping and Hunting Tips Ever,Eustace Hazard Livingston,2012,Trade Paperback,13.44,10,4.6,41.0
"The Whole Body Reset : Your Weight-Loss Plan for a Flat Belly, Optimum Health and a Body You'll Love at Midlife and Beyond","Heidi Skolnik, Stephen Perrine and AARP",2022,Hardcover,22.99,20,4.3,3.0
The Little Book of Curses and Maledictions for Everyday Use,Dawn Rae Downton,2012,Trade Paperback,12.31,8,4.8,9.0
"Preserving Food Without Freezing or Canning : Traditional Techniques Using Salt, Oil, Sugar, Alcohol, Vinegar, Drying, Cold Storage, and Lactic Fermentation",The Gardeners and Farmers of Centre Terre Vivante,2007,Trade Paperback,21.0,17,4.9,8.0
A History of Central Banking and the Enslavement of Mankind,Stephen Mitford Goodson,2019,Trade Paperback,27.51,22,5.0,8.0
"The Complete U. S. Army Survival Guide to Foraging Skills, Tactics, and Techniques : The Complete Guide to Foraging Skills, Tactics, and Techniques",Jay McCullough,2016,Trade Paperback,14.02,12,5.0,5.0
November 9 : A Novel,Colleen Hoover,2015,Trade Paperback,11.39,9,4.5,13.0
The Subtle Art of Not Giving a F*ck : A Counterintuitive Approach to Living a Good Life,Mark Manson,2016,Hardcover,12.51,9,4.7,201.0
"Dover Military History, Weapons, Armor Ser.: The Art of War",Sun-tzu,2002,Unabridged edition,6.57,4,5.0,19.0
"Common Law Handbook : For Juror's, Sheriff's, Bailiff's, and Justice's",David Robinson,2013,Trade Paperback,7.24,5,5.0,6.0
Outlander Ser.: Go Tell the Bees That I Am Gone : A Novel,Diana Gabaldon,2021,Hardcover,19.55,18,5.0,9.0
Edible Wild Plants : A North American Field Guide to over 200 Natural Foods,Peter Dykeman and Thomas Elias,2009,Trade Paperback,16.42,14,4.9,39.0
Untitled Brené Brown : -,Brené Brown,2021,Hardcover,17.99,16,5.0,2.0
Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,2005,Paperback,9.45,4,4.8,144.0
Becoming Supernatural : How Common People Are Doing the Uncommon,Joe Dispenza,2019,UK-Trade Paper,16.29,12,4.9,22.0
What Happened to the Bennetts,Lisa Scottoline,2022,Hardcover,11.0,9,5.0,1.0
The Complete Guide to Edible Wild Plants,Department of the Army,2009,Trade Paperback,12.21,9,4.4,72.0
"From Strength to Strength : Finding Success, Happiness, and Deep Purpose in the Second Half of Life",Arthur C. Brooks,2022,Hardcover,19.99,16,5.0,1.0
Las 48 Leyes del Poder,Joost Elffers and Robert Greene,2004,Trade Paperback,39.99,23,4.6,9.0
Wings of Fire 8 Books Set,TUI T Sutherland,2017,Paperback,39.55,29,5.0,9.0
"Healing with DMSO : The Complete Guide to Safe and Natural Treatments for Managing Pain, Inflammation, and Other Chronic Ailments with Dimethyl Sulfoxide",Amandha Dawn Vollmer,2020,Trade Paperback,14.34,13,5.0,9.0
How to Draw Comics the Marvel Way,"John Buscema, Stan Lee and John Buscema",1984,Trade Paperback,8.0,7,4.7,47.0
